N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
58,SK바이오팜,"79,600","2,200",+2.84%,500,"62,337","78,313",10.57,"103,070",-352.21,-10.96,
59,HD현대,"78,400","1,600",+2.08%,"1,000","61,931","78,993",19.66,"180,125",15.27,3.57,
60,KODEX 200,"34,350","1,090",+3.28%,0,"56,403","164,200",30.44,"9,247,289",N/A,N/A,
61,LG이노텍,"232,500","15,000",+6.90%,"5,000","55,026","23,667",26.01,"144,384",8.87,12.59,
62,넷마블,"63,900","3,400",+5.62%,100,"54,924","85,954",25.25,"185,737",-25.15,-4.90,
63,현대차2우B,"153,300","3,600",+2.40%,"5,000","54,819","35,759",62.90,"112,332",3.54,N/A,
64,LG생활건강,"345,500","18,500",+5.66%,"5,000","53,961","15,618",27.43,"54,412",38.76,2.65,
65,에코프로머티,"77,200","4,900",+6.78%,500,"53,322","69,071",24.44,"420,015",-539.86,0.91,
66,LG디스플레이,"10,580",500,+4.96%,"5,000","52,900","500,000",21.29,"1,353,551",-1.84,-31.95,
67,HD현대마린솔루션,"117,300","5,200",+4.64%,500,"52,140","44,450",1.42,"87,806",31.05,71.59,
68,CJ제일제당,"346,000","3,000",+0.87%,"5,000","52,087","15,054",26.14,"17,914",12.03,5.55,
69,맥쿼리인프라,"11,900",310,+2.67%,0,"51,858","435,781",11.49,"1,086,868",N/A,N/A,
70,한국타이어앤테크놀로지,"41,200","2,550",+6.60%,500,"51,037","123,875",39.90,"299,063",5.19,7.85,
71,삼성E&A,"25,950","1,350",+5.49%,"5,000","50,862","196,000",47.30,"1,056,015",6.89,24.45,
72,한국항공우주,"51,300","1,100",+2.19%,"5,000","50,005","97,475",31.82,"757,335",21.74,14.81,
73,LS ELECTRIC,"166,000","8,600",+5.46%,"5,000","49,800","30,000",20.18,"613,997",21.30,12.61,
74,현대로템,"44,750",50,+0.11%,"5,000","48,841","109,142",24.53,"2,563,940",24.61,10.06,
75,SKC,"120,300","6,200",+5.43%,"5,000","45,556","37,868",16.28,"272,641",-20.59,-17.57,
76,삼성카드,"39,050",450,-1.14%,"5,000","45,243","115,859",6.92,"47,050",7.05,7.61,
77,KODEX KOFR금리액티브(합성),"107,615",5,0.00%,0,"44,957","41,776",0.00,"27,538",N/A,N/A,
78,NH투자증권,"13,220",510,+4.01%,"5,000","43,294","327,492",18.05,"815,639",7.75,7.50,
79,LG유플러스,"9,840",200,+2.07%,"5,000","42,963","436,611",35.22,"647,423",7.14,7.49,
80,HD현대미포,"106,000","5,000",+4.95%,"5,000","42,339","39,942",21.24,"552,797",-31.00,-6.96,
81,한진칼,"63,400","2,200",+3.59%,"2,500","42,327","66,762",21.96,"117,274",9.69,14.79,
82,삼양식품,"558,000","30,000",+5.68%,"5,000","42,034","7,533",15.14,"110,575",24.66,24.81,
83,현대오토에버,"151,900","7,400",+5.12%,500,"41,657","27,424",1.72,"73,680",31.55,9.01,
84,LIG넥스원,"189,100","9,500",+5.29%,"5,000","41,602","22,000",21.03,"285,155",23.66,17.61,
85,미래에셋증권,"6,980",320,+4.80%,"5,000","41,553","595,316",13.63,"681,298",20.77,2.97,
86,GS,"44,600",550,+1.25%,"5,000","41,440","92,915",23.37,"72,843",3.33,10.05,
87,코웨이,"55,800",300,+0.54%,500,"41,180","73,800",60.20,"156,187",8.69,19.03,
88,TIGER 미국S&P500,"17,950",280,+1.58%,0,"40,908","227,900",0.00,"4,967,305",N/A,N/A,
89,포스코DX,"26,750","1,900",+7.65%,500,"40,669","152,035",6.62,"717,185",44.21,21.08,
90,두산로보틱스,"62,600","3,300",+5.56%,500,"40,577","64,820",3.45,"461,155",-252.42,-6.59,
91,SK바이오사이언스,"52,700","3,350",+6.79%,500,"40,488","76,828",6.74,"117,114",176.85,1.30,
92,한화솔루션,"23,550",600,+2.61%,"5,000","40,481","171,893",21.54,"757,442",-5.24,-2.48,
93,롯데케미칼,"92,700","3,600",+4.04%,"5,000","39,653","42,775",24.98,"84,386",-14.43,-0.33,
94,TIGER KOFR금리액티브(합성),"106,145",5,0.00%,0,"38,063","35,859",0.00,"37,545",N/A,N/A,
95,엔씨소프트,"172,000","11,600",+7.23%,500,"37,761","21,954",36.27,"95,769",24.27,6.58,
96,한국금융지주,"67,400","3,700",+5.81%,"5,000","37,559","55,726",41.54,"140,906",5.56,8.81,
97,삼성증권,"41,800","1,500",+3.72%,"5,000","37,327","89,300",30.36,"245,498",6.81,8.54,
98,한국가스공사,"40,400","2,450",+6.46%,"5,000","37,294","92,313",6.85,"1,410,248",-7.64,-7.68,
99,시프트업,"64,000","6,200",+10.73%,200,"37,136","58,026",1.19,"540,873",30.02,86.44,
100,금양,"63,900","7,800",+13.90%,500,"37,094","58,050",12.39,"601,846",-50.51,-38.52,
